"","AirportID","Name","City","Country","IATA","ICAO","Latitude","Longitude","Altitude","Timezone","DST","TzDatabaseTz","Type","Source"
"8254",9695,"Kortrijk Station","Kortrijk","Belgium","\N","\N",50.824579,3.264396,60,"1","E","Europe/Brussels","station","User"
"8255",9696,"Ieper Station","Ypres","Belgium","\N","\N",50.847995,2.876605,80,"1","E","Europe/Brussels","station","User"
"8256",9697,"Gare de Dinant","Dinant","Belgium","\N","\N",50.261134,4.908023,314,"1","E","Europe/Brussels","unknown","User"
"8257",9698,"Port of Valparaiso","Valparaiso","Chile","\N","\N",-33.032677,-71.591849,0,"-4","S","America/Santiago","unknown","User"
"8258",9699,"Pecs Vasutallomas Station","Pecs","Hungary","\N","\N",46.066241,18.225004,666,"1","E","Europe/Budapest","station","User"
"8259",9700,"Kaposvar Vasutallomas Station","Kaposvar","Hungary","\N","\N",46.352691,17.7947,502,"1","E","Europe/Budapest","station","User"
"8260",9701,"Sopron Vasutallomas Station","Sopron","Hungary","\N","\N",47.677945,16.586496,695,"1","E","Europe/Budapest","station","User"
"8261",9702,"Gyor Vasutallomas Station","Gyor","Hungary","\N","\N",47.681885,17.634652,390,"1","E","Europe/Budapest","station","User"
"8262",9703,"Bahla","Bahla","Oman","\N","\N",22.968,57.298,1942,"4","E","Asia/Muscat","unknown","User"
"8263",9704,"Lukang","Lukang","Taiwan","\N","\N",24.05,120.4333,10,"8","N","Asia/Taipei","unknown","User"
"8264",9705,"Chiayi Station","Chiayi","Taiwan","\N","\N",23.4792,120.4409,96,"8","N","Asia/Taipei","station","User"
"8265",9706,"Kenting National Park","Kenting","Taiwan","\N","\N",21.98,120.797,0,"8","N","Asia/Taipei","unknown","User"
"8266",9707,"Tainan Station","Tainan","Taiwan","\N","\N",22.9969,120.2125,20,"8","N","Asia/Taipei","station","User"
"8267",9708,"Amalfi","Amalfi","Italy","\N","\N",40.6333,14.6,0,"1","E","Europe/Rome","unknown","User"
"8268",9709,"Positano","Positano","Italy","\N","\N",40.6333,14.4833,0,"1","E","Europe/Rome","unknown","User"
"8269",9710,"Sorrento","Sorrento","Italy","\N","\N",40.6261,14.3761,0,"1","E","Europe/Rome","unknown","User"
